emerge,saleintended2,ebitbeforedummy,equitybefore,manufacturing,prime1yearbeffile,lnhqtohqctcity,prepack3,diploanres,commcred24,lnassetscurrdollar,lnjudgeexp,deny,judgeexpdummy
1,0,0,.29522732,0,8,3.4965076,2,1,0,6.1675167,0,0,0
1,0,0,.15580179,0,8,2.0794415,1,0,0,6.7007313,3.8286414,1,1
1,0,0,.1235942,0,8,,0,1,1,8.4357662,1.0986123,1,0
1,0,1,-.078331128,1,8,0,1,1,0,6.5666723,1.0986123,0,0
1,0,1,-.28064823,1,8,2.4849067,0,1,1,7.8399196,.69314718,1,0
1,0,0,-.19392523,0,7.5,0,1,0,1,8.9800463,3.0910425,1,1
1,0,0,-.24404849,0,7.5,0,1,1,0,9.7565527,.69314718,1,0
1,0,1,-.039604001,1,7.5,1.7917595,1,1,1,7.3981743,0,0,0
1,0,0,.31886941,0,7,2.8903718,2,1,0,7.45472,2.1972246,1,1
1,0,0,.35908508,0,7,0,0,0,1,9.0225639,.69314718,0,0
0,1,1,.25215346,0,7,3.4339871,1,1,0,5.8260002,1.3862944,0,0
0,1,0,-.63003862,0,7,2.1972246,0,0,1,6.4785094,0,0,0
0,0,1,.29270786,0,7,0,0,1,1,8.1964369,1.6094379,0,0
1,0,1,-.26833376,1,7,4.8362818,1,1,1,7.0057888,.69314718,0,0
0,1,1,-.01003861,1,7,0,1,1,1,6.7546039,1.3862944,1,0
1,,1,.16761634,0,7,1.7917595,1,1,1,5.855072,2.3978953,1,1
0,1,0,.62487978,0,7,1.0986123,0,0,1,6.0234475,.69314718,0,0
1,0,0,-.76901752,0,7,,1,0,1,6.8585649,.69314718,1,0
1,1,0,.2622155,0,7,3.1354942,1,0,1,9.2597971,1.0986123,1,0
0,0,1,.24242932,0,7,4.4659081,0,1,1,10.257098,1.9459101,1,1
1,0,0,.040841367,0,7,3.6635616,1,0,0,7.0596175,3.3672957,1,1
